quad,species,individual,microh,ind,x,y,diam,height,leaves,demo,pheno,dryw,ancho,Sup_mm2,Error,lma,sla,radius,xt,yt,id,area,gdist_min,biomass
1,Agrostis alpina,1,open,na,79.5,75.7,1.8,2.2,3,j,v,1064,26.8,6.946222624,30.03095975,153.1767779,0.006528405,0.9,79.5,75.7,1.1,2.534238334,9.948993343,3192
1,Draba aizoides,1,open,na,32.1,33.8,0.7,1.2,13,a,v,300,5.2,3.114689092,18.29689298,96.31779968,0.010382297,0.35,32.1,33.8,1.1,0.383264439,32.31547617,3900
1,Draba aizoides,2,open,na,40.2,43.3,1.1,0.8,15,a,v,284,4.3,2.792109094,15.53273427,101.7152233,0.00983137,0.55,40.2,43.3,1.2,0.946428513,25.06159562,4260
1,Draba aizoides,3,open,na,2,91.9,1.2,1.1,30,a,v,538,5.7,3.788522865,14.47492904,142.0078535,0.007041864,0.6,2,91.9,1.3,1.126328148,78.38546324,16140
1,Draba aizoides,4,open,na,89.8,82,1.9,1.2,35,a,r,490,7.8,4.462356639,15.02008032,109.8074492,0.00910685,0.95,89.8,82,1.4,2.823642094,11.75394503,17150
1,Draba aizoides,5,open,na,12.7,98.5,0.6,0.5,15,a,v,187,3.2,1.394262436,17.7377892,134.1210917,0.007455949,0.3,12.7,98.5,1.5,0.281582037,72.90125214,2805
1,Draba aizoides,6,open,na,56,96.8,2,1.1,50,a,v,538,5.9,5.19712219,9.931034483,103.5188284,0.009660078,1,56,96.8,1.6,3.128689301,40.4478912,26900
1,Erigeron uniflorus,1,moss,2,17.1,6.1,3.6,1.2,2,a,v,6268,25.2,60.91027207,3.695421914,102.9054671,0.009717657,1.8,17.1,6.1,1.1,10.13695333,51.32237047,12536
1,Erigeron uniflorus,2,open,na,97.6,6.4,2.4,2.6,3,j,v,7274,30.5,79.61989189,2.815549512,91.35907909,0.01094582,1.2,97.6,6.4,1.2,4.505312593,0,21822
1,Erigeron uniflorus,3,moss,9,49.9,15.1,2.8,1.4,5,a,v,6187,25.3,100.0929651,2.065613609,61.81253592,0.016177948,1.4,49.9,15.1,1.3,6.13223103,17.32727441,30935
1,Erigeron uniflorus,4,open,na,85.6,26.3,2.1,1.5,3,j,v,7119,29.1,80.85644855,2.789064657,88.04492564,0.011357838,1.05,85.6,26.3,1.4,3.449379954,0,21357
1,Erigeron uniflorus,5,open,na,91,21.5,1.8,1.2,2,j,v,2093,18.8,29.58058582,5.828183691,70.75586714,0.014133104,0.9,91,21.5,1.5,2.534238334,0,4186
1,Erigeron uniflorus,6,open,na,22,37.1,2.7,1,4,a,v,4758,16,51.2292879,2.623661932,92.87655938,0.010766979,1.35,22,37.1,1.6,5.702036251,42.60666906,19032
1,Erigeron uniflorus,7,open,na,78.2,63.7,1.8,1.2,3,j,v,3273,13.7,39.09669576,3.281994866,83.71551448,0.011945217,0.9,78.2,63.7,1.7,2.534238334,0.809124492,9819
1,Erigeron uniflorus,8,moss,16,87.1,72.6,0.9,1.3,2,j,v,753,10.1,13.70964992,5.411764706,54.92481607,0.018206706,0.45,87.1,72.6,1.8,0.633559583,3.821252374,1506
1,Erigeron uniflorus,9,moss,17,57.6,89.7,1.4,1.2,3,a,v,1653,14.6,26.25084339,4.724194429,62.96940541,0.015880728,0.7,57.6,89.7,1.9,1.533057757,33.95830939,4959
1,Euphrasia minima,1,open,na,42.3,23.1,1.3,3.2,16,a,v,693,5,12.86377348,13.51351351,53.8722173,0.018562444,0.65,42.3,23.1,1.1,1.32187123,22.85908417,11088
1,Leontodon montanus,1,open,na,48.4,5.5,3.1,1.4,3,a,v,7031,26.4,70.3762029,2.928444105,99.90593,0.010009416,1.55,48.4,5.5,1.1,7.516676045,22.36181083,21093
1,Leontodon montanus,2,open,na,34.1,15.3,4.8,1.3,10,a,v,12312,35.1,133.1825285,2.346735562,92.44455814,0.010817294,2.4,34.1,15.3,1.2,18.02125037,32.57847963,123120
1,Leontodon montanus,3,open,na,23.7,50.5,3.2,1.1,5,a,v,3249,17.3,63.21492694,2.534444633,51.39608882,0.019456733,1.6,23.7,50.5,1.3,8.00944461,42.73781588,16245
1,Leontodon montanus,4,open,na,6.1,62.3,5.2,2.4,6,a,v,5924,23.6,120.0391857,1.866173002,49.35055137,0.020263198,2.6,6.1,62.3,1.4,21.14993967,62.66676183,35544
1,Leontodon montanus,5,open,na,37.8,66.4,1.7,1.8,3,j,v,6258,19.7,105.3797169,1.76524608,59.38524209,0.016839201,0.85,37.8,66.4,1.5,2.26047802,34.64968468,18774
1,Leontodon montanus,6,moss,14,61.7,60.6,3.2,1.6,4,a,v,3004,18.5,62.13247178,3.244720497,48.3483099,0.020683246,1.6,61.7,60.6,1.6,8.00944461,11.12864035,12016
1,Leontodon montanus,7,open,na,12.8,86.7,2.5,1,4,j,v,3845,18.7,43.78125812,3.107911677,87.82296729,0.011386543,1.25,12.8,86.7,1.7,4.888577033,66.45995692,15380
1,Leontodon montanus,8,open,na,78.5,75.7,3.6,1.4,4,a,v,7493,25.7,88.93888967,2.571129201,84.24885928,0.011869597,1.8,78.5,75.7,1.8,10.13695333,10.47149191,29972
1,Linaria alpina,1,moss,4,24.3,4.8,1.4,1.6,60,a,v,288,5.3,4.58601732,26.11683849,62.79958837,0.015923671,0.7,24.3,4.8,1.1,1.533057757,44.90256798,17280
1,Linaria alpina,2,open,na,77.4,4.3,1.3,1.8,35,a,v,228,3.7,2.594976873,12.98342541,87.86205472,0.011381478,0.65,77.4,4.3,1.2,1.32187123,0,7980
1,Linaria alpina,3,open,na,76.8,8.6,4.1,1.5,140,a,v,406,5.4,5.182785301,12.17150761,78.33625674,0.012765481,2.05,76.8,8.6,1.3,13.14831679,0,56840
1,Linaria alpina,4,moss,8,1.2,19.6,0.8,0.7,15,a,v,161,2.7,2.440859331,22.84552846,65.96037632,0.015160617,0.4,1.2,19.6,1.4,0.500590288,64.07213378,2415
1,Linaria alpina,5,moss,9,47.1,15,0.7,1.1,20,a,v,187,2.9,1.259138663,28.20512821,148.5142228,0.006733362,0.35,47.1,15,1.5,0.383264439,20.03021474,3740
1,Linaria alpina,6,open,na,74.6,18.4,0.6,1.8,15,a,v,182,2.4,1.691752878,15.25423729,107.5807243,0.009295345,0.3,74.6,18.4,1.6,0.281582037,0,2730
1,Linaria alpina,7,open,na,20.4,44.5,5.2,2.3,160,a,r,738,5.3,7.942636395,8.393501805,92.91625139,0.01076238,2.6,20.4,44.5,1.7,21.14993967,44.82757506,118080
1,Linaria alpina,8,open,na,26.5,86.5,3.8,1.6,110,a,r,810,9.7,9.894604608,14.30728577,81.86279615,0.012215561,1.9,26.5,86.5,1.8,11.29456838,54.72041036,89100
1,Linaria alpina,9,open,na,4.6,94.8,4.8,1.6,180,a,r,577,6.6,7.659486854,15.26282457,75.33141724,0.013274674,2.4,4.6,94.8,1.9,18.02125037,77.68384465,103860
1,moss,1,moss,1,9,9.9,2.6,0.6,50,a,v,NA,NA,NA,NA,NA,NA,1.3,9,9.9,1.1,5.287484918,58.2455696,NA
1,moss,2,moss,2,16,5.4,2,0.4,100,a,v,NA,NA,NA,NA,NA,NA,1,16,5.4,1.2,3.128689301,52.57651814,NA
1,moss,3,moss,3,21.2,3.1,15,0.3,80,a,v,NA,NA,NA,NA,NA,NA,7.5,21.2,3.1,1.3,175.9887732,48.40501925,NA
1,moss,4,moss,4,23.8,5.4,5.8,0.4,100,a,v,NA,NA,NA,NA,NA,NA,2.9,23.8,5.4,1.4,26.31227702,45.16559847,NA
1,moss,5,moss,5,54.5,10.2,2.7,0.8,140,a,v,NA,NA,NA,NA,NA,NA,1.35,54.5,10.2,1.5,5.702036251,14.91005979,NA
1,moss,6,moss,6,82.4,2.8,3.9,0.4,260,a,v,NA,NA,NA,NA,NA,NA,1.95,82.4,2.8,1.6,11.89684107,0,NA
1,moss,7,moss,7,93,9.1,3.9,0.5,280,a,v,NA,NA,NA,NA,NA,NA,1.95,93,9.1,1.7,11.89684107,0,NA
1,moss,8,moss,8,1,17.2,5.3,0.5,450,a,v,NA,NA,NA,NA,NA,NA,2.65,1,17.2,1.8,21.97122061,64.57718542,NA
1,moss,9,moss,9,48.8,14.1,4.3,0.5,300,a,v,NA,NA,NA,NA,NA,NA,2.15,48.8,14.1,1.9,14.46236629,18.69719991,NA
1,moss,10,moss,10,70.4,18.2,3.6,0.8,230,a,v,NA,NA,NA,NA,NA,NA,1.8,70.4,18.2,1.1,10.13695333,0,NA
1,moss,11,moss,11,23.6,42.8,4.5,0.7,400,a,v,NA,NA,NA,NA,NA,NA,2.25,23.6,42.8,1.11,15.83898959,41.46273323,NA
1,moss,12,moss,12,50.5,43.7,2.1,0.8,80,a,v,NA,NA,NA,NA,NA,NA,1.05,50.5,43.7,1.12,3.449379954,15.09087354,NA
1,moss,13,moss,13,77,42,3.2,0.9,270,a,v,NA,NA,NA,NA,NA,NA,1.6,77,42,1.13,8.00944461,0,NA
1,moss,14,moss,14,58.4,57.8,6.4,0.9,450,a,v,NA,NA,NA,NA,NA,NA,3.2,58.4,57.8,1.14,32.03777844,12.47935691,NA
1,moss,15,moss,15,65,82.5,3.2,0.7,300,a,v,NA,NA,NA,NA,NA,NA,1.6,65,82.5,1.15,8.00944461,23.67747088,NA
1,moss,16,moss,16,76.4,76.8,4.1,0.6,450,a,v,NA,NA,NA,NA,NA,NA,2.05,76.4,76.8,1.16,13.14831679,12.50664307,NA
1,moss,17,moss,17,56.4,89.7,3.8,0.8,230,a,v,NA,NA,NA,NA,NA,NA,1.9,56.4,89.7,1.17,11.29456838,34.73764705,NA
1,moss,18,moss,18,66.8,88.4,2.9,0.8,220,a,v,NA,NA,NA,NA,NA,NA,1.45,66.8,88.4,1.18,6.578069255,27.4132552,NA
1,moss,19,moss,19,88.5,90.6,4.4,0.9,340,a,v,NA,NA,NA,NA,NA,NA,2.2,88.5,90.6,1.19,15.14285622,20.41980532,NA
1,Oxytropis jacquinii,1,open,na,95,61.4,4.6,2,8,a,v,8766,28.9,110.1825747,6.756449042,79.55885972,0.01256931,2.3,95,61.4,1.1,16.5507664,0,70128
1,Poa alpina,1,moss,18,65.8,90.1,1.4,1.3,5,j,v,1046,11.1,4.824363081,21.69390788,216.8161853,0.004612202,0.7,65.8,90.1,1.1,1.533057757,29.38524205,5230
1,Poa alpina,2,open,na,96.8,69.4,1.8,2,3,j,v,1237,18.9,6.136188406,24.41588785,201.5909418,0.00496054,0.9,96.8,69.4,1.2,2.534238334,0,3711
1,Pritzelago alpina,1,moss,7,94.1,9.5,0.8,0.5,8,j,v,813,4.2,6.609305737,11.17136659,123.0083813,0.008129527,0.4,94.1,9.5,1.1,0.500590288,0,6504
1,Saxifraga oppositifolia,1,open,na,55,45.3,5.7,1.8,350,a,v,354.8333333,3,2.98207287,12.98076923,118.9888204,NA,2.85,55,45.3,1.1,25.41277885,11.08872148,124191.6667
1,Sedum atratum,1,moss,1,8.5,9.7,1,0.9,20,a,v,272,2.1,2.530460873,9.065155807,107.4903006,0.009303165,0.5,8.5,9.7,1.1,0.782172325,58.77844363,5440
1,Sedum atratum,2,open,na,72.2,5.8,0.9,1.2,20,a,v,423,3.9,6.161277962,13.78708551,68.654588,0.014565669,0.45,72.2,5.8,1.2,0.633559583,2.261731727,8460
1,Sedum atratum,3,open,na,87,5.8,0.5,0.6,12,j,v,179,2,1.04300866,36.08247423,171.618901,0.005826864,0.25,87,5.8,1.3,0.195543081,0,2148
1,Sedum atratum,4,open,na,7.4,20.4,0.7,0.6,15,a,v,426,5.5,12.07166037,5.581947744,35.2892632,0.028337231,0.35,7.4,20.4,1.4,0.383264439,57.82192261,6390
1,Sedum atratum,5,open,na,74.8,25,0.8,0.7,20,a,v,417,3.1,5.627228854,8.789808917,74.10397032,0.013494554,0.4,74.8,25,1.5,0.500590288,0,8340
1,Sedum atratum,6,open,na,68.7,30.2,1.4,0.9,35,a,v,724,4.8,10.60212927,7.36984449,68.28816945,0.014643825,0.7,68.7,30.2,1.6,1.533057757,0,25340
1,Sedum atratum,7,open,na,51,54.7,1.8,1.4,50,a,v,1401,7.3,18.52326033,4.876160991,75.63463316,0.013221456,0.9,51,54.7,1.7,2.534238334,17.87575976,70050
1,Sedum atratum,8,open,na,56.4,86.5,1.2,0.8,35,a,v,588,4.4,7.670235508,6.355140187,76.65996688,0.013044618,0.6,56.4,86.5,1.8,1.126328148,32.30434796,20580
1,Sedum atratum,9,moss,15,66,82.8,0.8,1.4,20,a,v,535,2.5,6.512531737,6.329113924,82.14931175,0.012172957,0.4,66,82.8,1.9,0.500590288,23.26273948,10700
1,Sedum atratum,10,open,na,20.2,82.2,1.2,0.8,35,a,v,894,4.3,10.46592882,5.205479452,85.42003438,0.011706856,0.6,20.2,82.2,1.1,1.126328148,57.79917617,31290
1,Sedum atratum,11,moss,8,0.8,17.7,1.4,1.6,30,a,v,904,5.5,12.07166037,5.581947744,74.88613598,0.013353607,0.7,0.8,17.7,1.11,1.533057757,64.70422368,27120
2,Anthyllis vulneraria,1,dryas,3,60.6,76.6,3.1,2.1,7,a,v,11975,24.6,140.8563482,1.936436042,85.01569258,0.011762534,1.55,160.6,76.6,2.1,7.516676045,0,83825
2,Anthyllis vulneraria,2,dryas,3,66.3,82.5,2,1.5,3,j,v,2546,15.2,62.50166672,2.213556601,40.7349137,0.024548966,1,166.3,82.5,2.2,3.128689301,0,7638
2,Anthyllis vulneraria,3,dryas,3,64.6,88.3,6.8,3.3,18,a,v,17592,39.2,200.3831105,6.079739568,87.79183012,0.011390582,3.4,164.6,88.3,2.3,36.16764832,0,316656
2,Anthyllis vulneraria,4,open,na,61.5,94.5,9.7,5.3,35,a,f/r,34541,41.6,487.5115668,0.982237384,70.85165226,0.014113997,4.85,161.5,94.5,2.4,73.59459408,2.232447682,1208935
2,Draba aizoides,1,dryas,1,13.6,6.1,0.7,0.8,15,a,v,179,3.9,2.301070652,14.95327103,77.78987569,0.012855143,0.35,113.6,6.1,2.1,0.383264439,0,2685
2,Draba aizoides,2,dryas,1,40.7,4.4,0.7,0.6,12,a,v,156,4,1.928311544,21.56133829,80.89979055,0.012360971,0.35,140.7,4.4,2.2,0.383264439,7.04902942,1872
2,Draba aizoides,3,dryas,2,35.9,52.2,1.9,1,50,a,v,294,5.9,3.856623087,13.94052045,76.23249495,0.013117766,0.95,135.9,52.2,2.3,2.823642094,0,14700
2,Draba aizoides,4,dryas,2,42.6,54.7,3.2,1.5,90,a,v,234,4.2,2.716840428,16.88654354,86.12946039,0.011610429,1.6,142.6,54.7,2.4,8.00944461,5.061658241,21060
2,Draba aizoides,5,open,na,4.2,82.5,3.6,1.2,110,a,v,244,5,2.487450207,20.17291066,98.09241581,0.010194468,1.8,104.2,82.5,2.5,10.13695333,10.20441081,26840
2,Draba aizoides,6,dryas,3,61,82.5,19.6,2.9,350,a,v,428.5764706,NA,NA,NA,91.31975545,NA,9.8,161,82.5,2.6,300.4793204,0,150001.7647
2,Dryas octopetala,1,dryas,1,3.9,32.8,79,4.3,600,a,r,11561,24.2,45.1253575,23.90786338,256.1974163,0.00390324,39.5,103.9,32.8,2.1,4881.537482,0,6936600
2,Dryas octopetala,2,dryas,2,97.9,9.4,5.8,3.6,40,a,v,5940,22.4,78.59124018,4.802298536,75.58094244,0.013230849,2.9,197.9,9.4,2.2,26.31227702,0,237600
2,Dryas octopetala,3,dryas,3,61,82.5,19.6,2.9,350,a,v,8093,23.4,39.0070902,19.50748874,207.4751015,0.004819855,9.8,161,82.5,2.3,300.4793204,0,2832550
2,Erigeron uniflorus,1,open,na,53.8,1.5,1.3,1.5,3,j,v,2789,22.5,33.9497928,39.4655704,82.15072228,0.012172748,0.65,153.8,1.5,2.1,1.32187123,19.52271459,8367
2,Erigeron uniflorus,2,dryas,1,63.3,17.9,0.5,1.3,1,j,v,648,15.7,23.70246141,7.545743233,27.33893282,0.036577873,0.25,163.3,17.9,2.2,0.195543081,21.85887451,648
2,Erigeron uniflorus,3,dryas,2,41.2,26.2,1.2,1.9,1,j,v,1863,18.2,30.29743026,10.80089909,61.49036351,0.016262711,0.6,141.2,26.2,2.3,1.126328148,0,1863
2,Erigeron uniflorus,4,dryas,2,46.7,46.2,1.6,1.6,3,j,v,2515,16.5,29.17556871,15.45454545,86.20226139,0.011600624,0.8,146.7,46.2,2.4,2.002361153,5.367365789,7545
2,Erigeron uniflorus,5,dryas,2,13,41.7,2.6,3.1,3,a,v,4066,35.1,67.32961403,15.41123237,60.38947436,0.016559177,1.3,113,41.7,2.5,5.287484918,0,12198
2,Erigeron uniflorus,6,open,na,90.6,48.5,2.1,1.4,3,a,v,2925,9.5,30.3117511,2.722424923,96.49722943,0.010362992,1.05,190.6,48.5,2.6,3.449379954,35.30767519,8775
2,Erigeron uniflorus,7,dryas,2,47.6,68.4,2.5,1.4,2,j,v,3492,23.3,60.14324852,3.659117998,58.06137989,0.017223152,1.25,147.6,68.4,2.7,4.888577033,9.658128433,6984
2,Erigeron uniflorus,8,open,na,0.9,95.8,1.3,1.7,3,a,v,1942,14.2,25.64510583,5.691689356,75.72594993,0.013205513,0.65,100.9,95.8,2.8,1.32187123,18.40196824,5826
2,Erigeron uniflorus,9,moss,3,31.2,92.3,1.4,1.6,3,j,v,3025,19.6,31.74904025,10.31835629,95.27847067,0.01049555,0.7,131.2,92.3,2.9,1.533057757,7.84887348,9075
2,Galium anisophyllon,1,open,na,92.3,16.8,0.8,2.2,25,a,v,451,3.5,7.440845287,9.055876686,60.61139327,0.016498548,0.4,192.3,16.8,2.1,0.500590288,6.380887529,11275
2,Galium anisophyllon,2,open,na,94.4,18.7,0.7,1.5,15,a,v,344,3.2,6.58589595,10.04949496,52.23283249,0.019145046,0.35,194.4,18.7,2.2,0.383264439,7.041091287,5160
