"quad";"species";"individual";"microh";"ind";"x";"y";"diam";"height";"leaves";"demo";"pheno";"dryw";"ancho";"Sup_mm2";"Error";"lma";"sla";"radius";"xt";"yt";"id";"area";"gdist_min";"biomass"
1;"Agrostis alpina";1;"open";"na";79.5;75.7;1.8;2.2;3;"j";"v";1064;26.8;6.9462226236;30.0309597523;153.176777891487;0.00652840472142857;0.9;79.5;75.7;1.1;2.53423833365176;9.94899334332649;3192
1;"Draba aizoides";1;"open";"na";32.1;33.8;0.7;1.2;13;"a";"v";300;5.2;3.1146890918;18.2968929804;96.3177996769584;0.0103822969726667;0.35;32.1;33.8;1.1;0.383264439348566;32.3154761685481;3900
1;"Draba aizoides";2;"open";"na";40.2;43.3;1.1;0.8;15;"a";"v";284;4.3;2.7921090938;15.5327342747;101.715223316537;0.00983137004859155;0.55;40.2;43.3;1.2;0.946428513493397;25.0615956203419;4260
1;"Draba aizoides";3;"open";"na";2;91.9;1.2;1.1;30;"a";"v";538;5.7;3.7885228654;14.4749290445;142.007853486506;0.00704186406208178;0.6;2;91.9;1.3;1.12632814828966;78.3854632358919;16140
1;"Draba aizoides";4;"open";"na";89.8;82;1.9;1.2;35;"a";"r";490;7.8;4.462356639;15.0200803213;109.807449211367;0.00910685028367347;0.95;89.8;82;1.4;2.82364209397617;11.7539450345432;17150
1;"Draba aizoides";5;"open";"na";12.7;98.5;0.6;0.5;15;"a";"v";187;3.2;1.3942624358;17.7377892031;134.121091695842;0.00745594885454545;0.3;12.7;98.5;1.5;0.281582037072414;72.9012521381934;2805
1;"Draba aizoides";6;"open";"na";56;96.8;2;1.1;50;"a";"v";538;5.9;5.19712219;9.9310344828;103.518828369129;0.00966007842007435;1;56;96.8;1.6;3.12868930080462;40.4478912043688;26900
1;"Erigeron uniflorus";1;"moss";"2";17.1;6.1;3.6;1.2;2;"a";"v";6268;25.2;60.9102720668;3.6954219136;102.905467129188;0.00971765667945118;1.8;17.1;6.1;1.1;10.136953334607;51.3223704686618;12536
1;"Erigeron uniflorus";2;"open";"na";97.6;6.4;2.4;2.6;3;"j";"v";7274;30.5;79.6198918888;2.8155495121;91.3590790874111;0.0109458196162772;1.2;97.6;6.4;1.2;4.50531259315865;0;21822
1;"Erigeron uniflorus";3;"moss";"9";49.9;15.1;2.8;1.4;5;"a";"v";6187;25.3;100.0929650828;2.0656136087;61.8125359247967;0.0161779481304025;1.4;49.9;15.1;1.3;6.13223102957705;17.3272744061659;30935
1;"Erigeron uniflorus";4;"open";"na";85.6;26.3;2.1;1.5;3;"j";"v";7119;29.1;80.8564485478;2.7890646574;88.0449256411683;0.0113578379755303;1.05;85.6;26.3;1.4;3.4493799541371;0;21357
1;"Erigeron uniflorus";5;"open";"na";91;21.5;1.8;1.2;2;"j";"v";2093;18.8;29.5805858166;5.8281836908;70.7558671412604;0.0141331035913043;0.9;91;21.5;1.5;2.53423833365175;0;4186
1;"Erigeron uniflorus";6;"open";"na";22;37.1;2.7;1;4;"a";"v";4758;16;51.2292879046;2.6236619324;92.8765593786981;0.0107669793830601;1.35;22;37.1;1.6;5.70203625071642;42.606669062445;19032
1;"Erigeron uniflorus";7;"open";"na";78.2;63.7;1.8;1.2;3;"j";"v";3273;13.7;39.0966957576;3.2819948662;83.7155144847186;0.0119452171578368;0.9;78.2;63.7;1.7;2.53423833365176;0.809124492172358;9819
1;"Erigeron uniflorus";8;"moss";"16";87.1;72.6;0.9;1.3;2;"j";"v";753;10.1;13.709649915;5.4117647059;54.9248160725189;0.0182067063944223;0.45;87.1;72.6;1.8;0.633559583412929;3.82125237401236;1506
1;"Erigeron uniflorus";9;"moss";"17";57.6;89.7;1.4;1.2;3;"a";"v";1653;14.6;26.2508433928;4.7241944293;62.9694054116897;0.0158807280053237;0.7;57.6;89.7;1.9;1.53305775739426;33.9583093933477;4959
1;"Euphrasia minima";1;"open";"na";42.3;23.1;1.3;3.2;16;"a";"v";693;5;12.8637734758;13.5135135135;53.872217301067;0.0185624436880231;0.65;42.3;23.1;1.1;1.32187122958995;22.8590841662465;11088
1;"Leontodon montanus";1;"open";"na";48.4;5.5;3.1;1.4;3;"a";"v";7031;26.4;70.376202897;2.9284441049;99.9059299958299;0.0100094158579149;1.55;48.4;5.5;1.1;7.51667604518309;22.3618108326957;21093
1;"Leontodon montanus";2;"open";"na";34.1;15.3;4.8;1.3;10;"a";"v";12312;35.1;133.1825285076;2.3467355617;92.4445581411035;0.0108172943882066;2.4;34.1;15.3;1.2;18.0212503726346;32.5784796318823;123120
1;"Leontodon montanus";3;"open";"na";23.7;50.5;3.2;1.1;5;"a";"v";3249;17.3;63.2149269414;2.5344446334;51.3960888226892;0.0194567334384118;1.6;23.7;50.5;1.3;8.00944461005983;42.7378158768441;16245
